mendeley_count,citeulike_count,connotea_count,blogs_count,news_count,twitter_count,wikipedia_count,facebook_count,googleplus_count,policy_count,median (12)
0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,1
3,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,2,0
21,0,0,0,0,0,0,0,0,5,0
28,0,0,0,0,0,0,1,0,0,1
182,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
89,2,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,2,1
0,0,0,1,1,0,0,0,0,0,1
320,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,0,0,0,1
29,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,2,1
11,0,1,0,0,0,0,0,0,1,0
17,0,0,0,0,1,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
13,0,0,0,0,0,0,0,0,1,0
33,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
12,0,0,0,0,1,0,0,0,1,1
61,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
26,0,0,0,0,0,1,0,0,0,1
21,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,3,0
0,1,0,0,0,0,1,0,0,0,1
6,0,0,0,0,0,0,0,0,1,1
38,0,0,0,0,0,0,0,0,1,0
18,0,0,0,0,6,0,0,0,0,1
0,0,0,0,0,0,3,0,0,0,1
49,0,0,0,0,0,0,0,0,2,0
18,0,0,0,0,0,0,0,0,2,1
7,0,0,1,0,0,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,5,1
24,0,0,0,0,0,0,0,0,4,0
6,0,0,0,0,0,0,0,0,1,0
11,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0
103,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0
29,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
25,0,0,0,0,0,0,0,0,1,0
11,0,0,0,1,0,0,0,0,0,1
83,1,0,0,0,0,0,0,0,1,0
9,0,0,0,0,1,0,0,0,0,1
8,0,0,0,0,0,0,0,0,1,0
47,0,0,0,0,0,0,0,0,3,0
21,0,0,0,0,0,0,0,0,2,0
1,0,0,0,0,0,0,0,0,2,1
17,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,1,1,1
28,0,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,1,0
29,0,0,0,0,0,0,0,0,2,0
50,0,0,0,0,0,0,0,0,4,0
90,0,0,0,0,0,0,0,0,6,1
30,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
49,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
56,0,0,0,0,0,1,0,0,0,1
23,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0,3,1,0,0,0,1
16,1,0,0,1,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,2,0
11,0,0,0,0,0,0,0,0,1,0
38,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,2,0
49,0,0,0,0,0,1,0,0,0,1
6,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
18,0,0,0,0,1,0,0,0,0,1
208,0,0,0,0,3,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,4,0,0,0,0,1
53,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,1,0
