mendeley_count,citeulike_count,connotea_count,blogs_count,news_count,twitter_count,wikipedia_count,facebook_count,googleplus_count,policy_count,median(15)
21,0,0,0,0,0,0,0,0,1,1
394,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,2,1
16,0,0,0,0,1,0,0,0,0,1
122,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,1
52,1,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,2,0,0,0,1
10,0,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,1,0
201,3,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,0,0,0,1
4,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,2,0
8,0,0,0,0,9,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,1
6,0,0,0,1,0,0,0,0,0,1
99,0,0,0,0,0,1,0,0,0,1
7,0,0,0,0,0,0,0,0,3,0
28,1,0,0,0,0,0,0,0,5,1
43,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,3,0,0,0,1
0,0,0,0,0,0,0,0,0,3,0
22,1,0,0,0,0,0,0,0,1,0
62,1,0,0,0,0,0,0,0,1,0
17,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0,1,1
0,0,0,2,1,0,0,0,0,0,1
26,0,0,0,0,0,0,0,0,5,1
24,0,0,0,0,0,0,0,0,1,0
21,0,0,0,0,0,0,0,0,1,0
42,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,2,0,0,0,1
5,0,0,0,0,0,0,0,0,1,0
5,0,0,0,0,3,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
16,0,0,0,0,0,0,0,0,1,0
29,0,0,0,0,0,0,0,0,1,0
40,0,1,0,0,0,0,0,0,1,0
120,2,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
125,0,0,0,0,0,0,0,0,1,1
18,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
47,0,0,0,0,0,0,0,0,1,0
13,0,0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0,0,1,0,1
23,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,1
29,0,0,0,0,0,0,0,0,7,1
19,0,0,0,0,0,0,0,0,1,0
45,0,0,0,0,0,0,0,0,1,0
39,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,1,0
139,1,0,0,0,0,0,0,0,1,1
8,0,0,0,0,0,0,0,0,1,0
43,0,0,0,0,0,1,0,0,0,1
29,0,0,0,0,0,0,0,0,1,0
16,0,0,0,0,0,0,0,0,2,0
13,0,0,0,0,0,0,0,0,1,1
25,0,0,0,0,0,0,0,0,2,1
7,0,0,0,0,0,0,0,0,1,0
23,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
15,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1
4,0,0,0,0,0,1,0,0,0,1
22,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
15,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,5,0
22,0,0,0,0,1,0,0,0,0,1
40,0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,0,0,1,0
443,3,0,1,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,0,2,1
33,0,0,0,0,0,0,0,0,2,0
6,1,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,0,0,0,1
17,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,0
43,1,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,1,0
49,0,0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0,0,4,1
0,0,0,1,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,1,0,0,0,1
12,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,0,0,0,1
69,0,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,1,0,0,0,1
10,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,2,0
101,0,15,0,0,0,0,0,0,1,1
10,0,0,0,0,0,0,0,0,1,0
23,0,0,0,0,0,0,0,0,2,0
18,0,0,0,0,0,0,0,0,3,0
10,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,4,0
81,0,0,0,0,0,0,0,0,1,1
3,0,0,0,1,0,0,2,0,0,1
0,0,0,0,0,0,4,0,0,0,1
12,0,0,0,0,0,0,0,0,1,1
6,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,1,1
12,0,0,0,0,0,0,0,0,1,1
39,0,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,3,1
1,0,0,0,0,0,0,0,0,1,0
19,0,0,0,0,0,0,0,0,2,0
31,1,0,0,0,0,1,0,0,0,1
9,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,1
3,0,0,0,0,0,1,0,0,0,1
4,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,1,1
24,0,0,0,0,0,0,0,0,1,0
